Title,FileName,Speaker,Date,Text,SeriesName,Mp3Url,SermonPageUrl,SeriesIndex,SermonId
Conduct Worthy of the Gospel part 2: Don't be Alarmed,140511am.mp3,Greg Pickle,2014-05-11,Philippians 1:28-30,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140511am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180203142,9,180203142
Observing the Lord's Supper,140518_am.mp3,Greg Pickle,2014-05-18,1Corinthians 11:23-26,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140518_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180203505,3,180203505
The Foundations of Christian Unity,20140525_am.mp3,Greg Pickle,2014-05-25,Philippians 2:1-2,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140525_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180204085,10,180204085
Colossians 3,20140601_am.mp3,Brian Beemer,2014-06-01,Colossians 3,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140601_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180204862,4,180204862
The Practice of Christian Unity,20140608_am.mp3,Greg Pickle,2014-06-08,Philippians 2:3-4,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140608_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180205521,11,180205521
Jonah 1:8-9,140806_pm.mp3,Brian Beemer,2014-06-08,Jonah 1:8-9,Jonah,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/140806_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180206044,2,180206044
The Model of Christian Humility,20140615_am.mp3,Greg Pickle,2014-06-15,Philippians 2:5-8,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140615_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180206148,12,180206148
The Exaltation of Jesus Christ,20140622_am.mp3,Greg Pickle,2014-06-22,Philippians 2:9-11,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140622_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180206742,13,180206742
The Sailors Throw Jonah Overboard,20140622_pm.mp3,Brian Beemer,2014-06-22,Jonah 1:11-16,Jonah,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140622_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180207361,3,180207361
Work Out Your Salvation,20140629_am.mp3,Greg Pickle,2014-06-29,Philippians 2:12-13,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140629_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180207362,14,180207362
Blameless Children of God,20140706_am.mp3,Greg Pickle,2014-07-06,Philippians 2:14-16,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140706_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180208158,15,180208158
Four Truths About Christian Joy,20140713_am.mp3,Greg Pickle,2014-07-13,Philippians 2:17-18,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140713_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180209336,16,180209336
Timothy: A Messenger Worth Waiting For,20140720_am.mp3,Greg Pickle,2014-07-20,Philippians 2:19-24,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140720_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180209426,17,180209426
Epaphroditus: A Faithful Servant of the Church,20140727_am.mp3,Greg Pickle,2014-07-27,Philippians 2:25-30,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140727_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180210785,18,180210785
Look Out for False Teachers,20140803_am.mp3,Greg Pickle,2014-08-03,Philippians 3:1-2,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140803_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180211374,19,180211374
The Distinctive Marks of God's People,20140810_am.mp3,Greg Pickle,2014-08-10,Philippians 3:3,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140810_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180211589,20,180211589
What We Teach: God the Son and God the Holy Spirit,20140810_ss.mp3,Greg Pickle,2014-08-10,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20140810_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180211596,1,180211596
