SermonId,Title,Speaker,Date,Text,Mp3Url,SeriesName,SermonPageUrl,SeriesIndex
180591560,"God's Plans for the Future, Part 2: The Tribulation",Greg Pickle,2020-02-16,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200216_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591560,63
180591529,Discipleship Class 6: Spiritual Disciplines,Jeff Murphy,2020-02-16,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200216_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591529,64
180591155,"God's Plans for the Future, Part 1: The Rapture of the Church",Greg Pickle,2020-02-09,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/2020-02-09_am.mp3,God's Plans for the Future,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591155,1
180591156,Discipleship Class 5: Discipling in the Local Church,Brian Beemer,2020-02-09,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/2020-02-09_SS.mp3,Discipleship and Counseling,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591156,20
180591869,"Parenting, Class 5",Greg Pickle,2020-02-09,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200209_parenting.mp3,Parenting,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591869,4
180590800,2 Thessalonians 3:16-18: A Final Greeting,Greg Pickle,2020-02-02,2 Thessalonians 3:16-18,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200202_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590800,42
180591868,"Parenting, Class 4",Greg Pickle,2020-02-02,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200202_parenting.mp3,Parenting,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180591868,3
180590776,Discipleship Week 4: The Importance of Holiness,Jeff Murphy,2020-02-02,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200202_ss.mp3,Discipleship and Counseling,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590776,19
180590503,"Discipleship, Class 3: Overcoming Excuses and Barriers",Brian Beemer,2020-01-26,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200126_ss.mp3,Discipleship and Counseling,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590503,17
180590501,"2 Thessalonians 3:13-16: Avoiding Idleness, Part 3",Greg Pickle,2020-01-26,2 Thessalonians 3:13-16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200126_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590501,41
180590503,"Discipleship, Class 3: Overcoming Excuses and Barriers",Brian Beemer,2020-01-26,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200126_ss.mp3,Discipleship and Counseling,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590503,18
180590327,"2 Thessalonians 3:6-15 - Avoiding Idleness, Part 2",Greg Pickle,2020-01-19,2 Thessalonians 3:6-15,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200119_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590327,40
180590326,"Discipleship, Class 2: Why Disciple",Jeff Murphy,2020-01-19,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200119_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590326,62
180590309,"Parenting, Class 2",Greg Pickle,2020-01-19,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200119_parenting.mp3,Parenting,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590309,2
180589567,"2 Thessalonians 3:6-15 - Avoiding Idleness, Part 1",Greg Pickle,2020-01-12,2 Thessalonians 3:6-15,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200112_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180589567,39
180589540,"Discipleship, Class 1",Brian Beemer,2020-01-12,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200112_SS.mp3,Discipleship and Counseling,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180589540,16
180590308,"Parenting, Class 1",Greg Pickle,2020-01-12,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200112_parenting.mp3,Parenting,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180590308,1
180589090,2 Thessalonians 3:1-5 - The Lord's Work in Gospel Growth,Greg Pickle,2020-01-05,2 Thessalonians 3:1-5,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200105_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180589090,38
180589058,1 Timothy 4 - Continuing in Sound Doctrine,Greg Pickle,2020-01-05,1 Timothy 4,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20200105_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180589058,61
180588401,Jeremiah 9:23-24: Boasting in the LORD,Greg Pickle,2019-12-29,Jeremiah 9:23-24,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191229_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180588401,60
180588164,The Glory and Grace of the Incarnate Word,Greg Pickle,2019-12-22,John 1:14-18,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191222.mp3,Christmas,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180588164,7
180587901,"Putting On Godly Character, Toward the Church",Brian Beemer,2019-12-15,Colossians 3:15-17,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191215_am.mp3,Colossians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180587901,13
180587900,Malachi 2:10-16,Philip Boudreaux,2019-12-15,Malachi 2:10-16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191215_ss.mp3,Malachi,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180587900,3
180587173,2020 Finance Meeting and Ministry Preview,Crossway Elders,2019-12-08,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191208_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180587173,59
180587174,2 Thessalonians 2:15-17: Responding to Comforting Instruction,Greg Pickle,2019-12-08,2 Thessalonians 2:15-17,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191208_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180587174,37
180586924,2 Thessalonians 2:13-14: God's Purpose and our Salvation,Greg Pickle,2019-12-01,2 Thessalonians 2:13-14,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191201_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180586924,36
180586923,Malachi 2:1-9,Philip Boudreaux,2019-12-01,Malachi 2:1-9,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191201_ss.mp3,Malachi,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180586923,2
180586003,Missionary Update - Jonathan Moorhead,Jonathan Moorhead,2019-11-24,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191124_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180586003,57
180586040,2 Timothy 2:1-7 - Training Up Faithful Men,Jonathan Moorhead,2019-11-24,2 Timothy 2:1-7,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191124_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180586040,58
180585423,"Great Is Thy Faithfulness - An Exposition of a Great Hymn of Faith, Part 3",Jim Zehr,2019-11-17,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191117_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180585423,56
180585463,2 Thessalonians 2:10-12 - The Fate of Antichrist's Followers,Greg Pickle,2019-11-17,2 Thessalonians 2:10-12,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191117_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180585463,35
180584929,"Great Is Thy Faithfulness - An Exposition of a Great Hymn of Faith, Part 2",Jim Zehr,2019-11-10,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191110_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584929,55
180584965,2 Thessalonians 2:5-10A - The Restraint and Revelation of the Lawless One,Greg Pickle,2019-11-10,2 Thessalonians 2:5-10,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191110_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584965,34
180584489,"Great Is Thy Faithfulness - An Exposition of a Great Hymn of Faith, Part 1",Jim Zehr,2019-11-03,Lamentation 3:22-23,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191103_ss.mp3,Great Is Thy Faithfulness,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584489,1
180584548,"Concern and Comfort About the Coming of Christ, Part 2: A Correction to Their Deception",Greg Pickle,2019-11-03,2 Thessalonians 2:3-4,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191103_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584548,33
180584125,"2 Thessalonians 2:1-2 - Concern and Comfort About the Coming of Christ, Part 1: Don't Be Alarmed",Greg Pickle,2019-10-27,2 Thessalonians 2:1-2,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191027_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584125,32
180584124,1 Peter 1:6-7 - Suffering With a View of Christ's Return,Greg Pickle,2019-10-27,1 Peter 1:6-9,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191027_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180584124,54
180583568,"Genesis 4:25-26 - The Rise of Secular Society, Part 4",Doug Walker,2019-10-20,Genesis 4:25-26,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191020_ss.mp3,Genesis,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180583568,9
180583569,2 Thessalonians 1:11-12 - Praying For What God Wants,Greg Pickle,2019-10-20,2 Thessalonians 1:11-12,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191020_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180583569,31
180585960,"Women's Retreat 2019 - In His Image, Session 1: Identity Crisis",Becky Hintz,2019-10-19,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191018_womens_retreat_1.mp3,Ladies Retreat 2019,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180585960,1
180585960,"Women's Retreat 2019 - In His Image, Session 1: Identity Crisis",Becky Hintz,2019-10-19,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191018_womens_retreat_1.mp3,Ladies Retreat 2019,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180585960,2
180585962,"Women's Retreat 2019 - In His Image, Session 3: Identity Restored",Becky Hintz,2019-10-19,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191018_womens_retreat_3.mp3,Ladies Retreat 2019,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180585962,3
180583179,"Genesis 4:16-24 - The Rise of Secular Society, Part 3",Doug Walker,2019-10-13,Genesis 4:16-24,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191013_ss.mp3,Genesis,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180583179,8
180582788,2 Thessalonians 1:1-4: A Church Worthy of High Esteem,Greg Pickle,2019-10-06,2 Thessalonians 1:1-4,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191006_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180582788,30
180582883,"Genesis 4:8-16: The Rise of Secular Society, Part 2",Doug Walker,2019-10-06,Genesis 4:8-16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20191006_ss.mp3,Genesis,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180582883,7
180575857,Don't Mess With God's Church,Daron Roberts,2019-09-29,Acts 4:32-5:16,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190929_am.mp3,Guest Speakers,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180575857,9
180575811,"Prayer, Part 4: Using Genres or Types of Literature in the Bible",Dan Snider,2019-09-29,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190929_ss.mp3,Proper Prayer,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180575811,5
180575378,Proverbs 3:5-8: Where Will You Put Your Trust?,Greg Pickle,2019-09-22,Proverbs 3:5-8,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190922_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180575378,53
180575340,"Prayer, Part 3: Why Should We Pray?",Dan Snider,2019-09-22,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190922_ss.mp3,Proper Prayer,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180575340,4
180574891,Psalm 90 - A Psalm of Moses,Doug Walker,2019-09-15,Psalm 90,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190915_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180574891,52
180574859,"Prayer, Part 2",Dan Snyder,2019-09-15,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190915_ss.mp3,Proper Prayer,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180574859,3
180574423,"Prayer, Part 1",Dan Snider,2019-09-08,Various,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190908_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180574423,50
180574450,1 Peter 4:10-11 - Serving One Another by God's Grace,Greg Pickle,2019-09-08,1 Peter 4:10-11,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190908_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180574450,51
180573952,1 Corinthians 9:24-27 - Running the Race to Win,Greg Pickle,2019-09-01,1 Corinthians 9:24-27,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190901_ss.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180573952,48
180573985,Psalm 32 - The Joy of Forgiveness,Greg Pickle,2019-09-01,Psalm 32:1-11,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190901_am.mp3,,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180573985,49
180573434,John 14:1-3 Truths For a Troubled Heart,Brian Beemer,2019-08-25,John 14:1-3,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190825_ss.mp3,The Gospel of John,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180573434,70
